patent_id	title	claim	abstract	class
5240962	Antiobesity and fat-reducing agents	1. A method of treating obesity in an animal which comprises administering to the animal an obesity treating amount of a compound having the formula:  or a pharmaceutically acceptable salt thereof, wherein R is alkyl having from 15 to 17 carbon atoms or alkenyl having from 15 to 17 carbon atoms; X is hydrogen or carboxyl; Y is hydrogen or hydroxyl; and Z is hydrogen or alkyl having from one to four carbon atoms.	An antiobesity and fat-reducing composition and method of treating obesity in an animal, including human, in need of such treatment as well as a feed composition for an animal which employs certain naturally occurring alkyl or alkenyl phenols having 15 to 17 carbon atoms in the alkyl or alkenyl group.	aaa
5246723	Material for food and method for production thereof	1. A material which can be used to make a food and which is relatively slowly adsorbed by the digestive system, comprising a farinaceous substance and a fatty acid compound bound to said farinaceous substance wherein the gravimetric ratio of said farinaceous substance to said fatty acid compound is in the range of 100:2-50, and wherein the occupation ratio of the amylose in said farinaceous substance by said fatty acid compound ranges from 10% to 100%.	A material for food of slow digestive absorption, comprising a farinaceous substance and a fatty acid compound bonded to said farinaceous substance and having an occupation ratio to the amylose in the farinaceous substance by the fatty acid compound in the range of not less than 10%.	aaa
5296481	Treatment process for promoting weight loss employing a substituted .DELTA.5	1. A method of preventatively treating weight gain which comprises administering to a subject in need of such treatment an effective amount of a steroid selected from the group consisting    Δ5-Androstene 3β,7α,17β-triol,    and    Δ5-Androstene 3β,17β-diol-7-one,    and derivatives thereof wherein at least one of the hydroxyl groups is esterified with an acid selected from the group consisting of (i) a C 2 to C 22 aliphatic acid, (ii) a C 7-12 aromatic acid (iii) a C 3 or greater dicarboxylic acid in which only one of the carboxyl groups is esterified to the hydroxyl group(s) on the steroid; and (iv) an inorganic acid.	A method for controlling weight gain or promoting weight loss which includes the step of treating a subject with an effective weight gain controlling or weight loss promoting amount of a substituted Δ5-Androstene which is biologically effective for controlling weight gain or promoting weight loss and biologically ineffective for promoting the synthesis of sex hormones. Steroids believed to provide the desired weight control/weight loss characteristics include:   Δ5-Androstene-3β,7α-diol-17-one  Δ5-Androstene-3β-ol-7,17-dione  Δ5-Androstene-3β,7α,17-triol  Δ5-Androstene-3β,17β-diol-7-one  and various derivatives thereof.	abd
5330779	Material for food and method for production thereof	1. A food additive material which is slowly adsorbed and digested which comprises:    (1) a mixture of starches comprising (a) a cereal starch having an amylose content of less than 25% and (b) a starchy material having a high amylose content; and  (2) a modifier which modifies the enzymatic reaction ratio with amylase such that it is not more than 95% as compared to an unmodified starch mixture; and  wherein the ratio of the cereal starch and the high amylose content starch is selected such that the resultant starch mixture comprises an amylose content ranging from between 25% and 60% by weight.	A material for food of slow digestion and absorption, characterized by comprising a starchy material having an amylose content in the range of from about 25 to about 60% by weight and a modifier for modifying said starchy material and having the enzymatic reaction ratio with amylase decreased to not more than 95% of unmodified starchy material.	aaa
5376640	Lipolytic enzyme inhibitors	1. A method of inhibiting enzymatic hydrolysis of lipids in the gastro-intestinal system of a mammal, comprising orally administering an effective amount of a purothionin or a salt thereof to a mammal in need thereof.	A method of inhibiting enzymatic hydrolysis of lipids in a mammal concerns orally administering an effective amount of a purothionin or an ε-polylysine of the formula:  or a salt thereof, wherein n is a number of from 5 to 9, to a mammal in need thereof. Alternatively, the method concerns orally administering an ε-polylysine of the formula above or a salt thereof, wherein n is a number of from 4 to 30, to a mammal suffering from lipemia or obesity. The purothionin, ε-polylysine or salt thereof is a lipolytic enzyme inhibitor, useful as a dieting agent, an agent for the prevention of obesity and lipemia, and as an additive for food and feed.	aba
5411956	Lipolytic enzyme inhibitors	2. A composition which inhibits enzymatic hydrolysis of lipids in a mammal, comprising an amount of an ε-polylysine of the formula:  or a salt thereof, wherein n is a number of from 5 to 9, effective to inhibit enzymatic hydrolysis of lipids in said mammal, and a biologically acceptable carrier.	A lipolytic enzyme inhibitor is disclosed which comprises as an active ingredient at least one of a basic protein, a basic polypeptide and salt thereof. The inhibitor is useful as a dieting agent for the prevention of obesity and lipemia and as an additive for food and feed.	aba
5453282	Dietary lipid digestion-absorption inhibitory agents and ingesta	1. A method for treating obesity in a mammal to be treated, said method comprising administering to the mammal amounts of chitosan and sodium acsorbate effective to treat obesity in said mammal, said chitosan inhibiting digestion and absorption of the lipid into the mammal and said sodium ascotbate enhancing the inhibitory activity of the chitosan.	Disclosed herein are dietary lipid digestion-absorption inhibitory agents and ingesta, comprising as an active ingredient a mixture of chitosan and ascorbic acid or a salt thereof. Also disclosed is a therapeutic method for obesity, which comprises administering an effective amount of a mixture of chitosan and ascorbic acid or salt thereof to a person who requires treatment for obesity.	aba
5474991	Lipid metabolism improving medicinal composition	1. A method of improving lipid metabolism in humans by administering to a human a lipid metabolism improving effective amount of a compound represented by the formula  or a pharmacologically acceptable salt thereof, wherein R 1 and R 2 are the same or different and each represents a hydrogen atom or a methyl group.	This invention relates to a lipid metabolism improving medicinal composition containing a phosphoric acid diester compound of the formula or a pharmacologically acceptable salt thereof.  wherein R 1 and R 2 are the same or different and each represents a hydrogen atom or a methyl group. The lipid metabolism improving medicinal composition of this invention lowers the plasma levels of triglycerides (TG), non-esterified fatty acids (NEFA), total cholesterol (T-ch), esterified cholesterol (E-ch), free cholesterol (F-ch), total lipid (TL) and lipid peroxides (LPO) and, among cholesterol fractions, increases the high-density lipoprotein (HDL) fraction and reduces the low-density ipoprotein (VLDL) fractions. Therefore, the composition can be used with advantage for the amelioration of hyperlipidemia associated with arteriosclerotic diseases such as myocardial infarction, angina pectoris, cerebral infarction, cerebral arteriosclerosis, etc., nephrosis, hypertension, diabetes, obesity and other diseases and for the prophylaxis of various cerebrovascular diseases.	abd
5496831	Inhibition of insulin-induced adiposis	1. A method of treating obesity caused by hyperinsulinemia, said method comprising the steps of:    (a) identifying an adult in need of such treatment; and  (b) administering to said adult an amount of rapamycin effective to inhibit insulin-induction of GAPDH, acetyl CoA carboxylase, or GLUT4 gene expression in said adult.	The invention features methods of treating insulin-induced obesity, weight gain, and other conditions associated with hyperinsulinemia.	abd
5521283	Anti-obesity proteins	1. A biologically active peptide consisting of the formula: SEQ ID NO: 1 or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5525705	Anti-obesity proteins	1. A biologically active peptide of the formula: SEQ ID NO: 1 or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5532336	Anti-obesity proteins	1. A biologically active peptide of the formula: SEQ ID NO: 1 or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5552522	Anti-obesity proteins	1. A biologically active peptide of the formula: SEQ ID NO: 1 or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5552523	Anti-obesity proteins	1. A protein comprising the amino acids of position 95 through position 128 of SEQ ID NO: 1 properly crosslinked to SEQ ID NO: 2, or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5552524	Anti-obesity proteins	1. A protein comprising the amino acids of position 95 through position 138 of SEQ ID NO: 1 properly crosslinked to SEQ ID NO: 2, or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5554727	Anti-obesity proteins	1. A protein comprising the amino acids of positions 95 through 100 of SEQ ID NO: 1 properly crosslinked to SEQ ID NO: 2, or a pharmaceutically acceptable salt thereof.	[PAL  ]The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5559208	Anti-obesity proteins	1. A protein comprising the amino acids of position 95 through position 119 of SEQ ID NO: 1 properly crosslinked to SEQ ID NO: 2, or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5563243	Anti-obesity proteins	1. A biologically active peptide of the formula: SEQ ID NO: 1 or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5563244	Anti-obesity proteins	1. A biologically active peptide of the formula: SEQ ID NO: 1 or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5563245	Anti-obesity proteins	1. A biologically active peptide of the formula: SEQ ID NO: 1 or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5567678	Anti-obesity proteins	1. A protein of the formula: SEQ ID NO: 1 or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5567803	Anti-obesity proteins	1. A biologically active peptide of the formula: SEQ ID No. 1 or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5569743	Anti-obesity proteins	1. A biologically active peptide of the formula: SEQ ID NO: 1 or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5569744	Anti-obesity proteins	1. A biologically active peptide of the formula: SEQ ID NO: 1 or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5574133	Anti-obesity proteins	1. A biologically active peptide of the formula: SEQ ID NO: 1 or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5580954	Anti-obesity proteins	1. A biologically active peptide of the formula: SEQ ID NO: 1 or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5594101	Anti-obesity proteins	1. A compound of the Formula:  wherein: A is SEQ ID NO: 1; and    B is SEQ ID NO: 2; or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5594104	Anti-obesity proteins	1. A biologically active peptide of the formula: SEQ ID NO: 1 or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
5605886	Anti-obesity proteins	1. A biologically active peptide of the formula: SEQ ID NO: 1 or a pharmaceutically acceptable salt thereof.	The present invention provides anti-obesity proteins, which when administered to a patient regulate fat tissue. Accordingly, such agents allow patients to overcome their obesity handicap and live normal lives with much reduced risk for type II diabetes, cardiovascular disease and cancer.	abd
