patent_id	title	claim	abstract	class
5280505	Method and apparatus for generating isotopes	1. A method for producing a selected isotope from a target material which is not normally a solid and which, when bombarded by selected high energy particles, produces the selected isotope, comprising the steps of:    forming a frozen layer of the target material on a cooled target surface;  bombarding the target material with said high energy particles for a selected time period, the target material being altered by the bombarding particles to contain a quantity of the isotope; and  extracting the isotope-containing target material.	This invention relates to a method and apparatus for the generation of isotopes, and in particular RADIOISOTOPEs, from a target material which is not normally a solid and which, when bombarded by selected high energy particles, produces the selected isotope. A surface is provided which is preferably of a thermally-conductive material, which surface is cooled to a temperature below the freezing temperature of the target material. A thin layer of target material is then frozen on the surface and the target material is bombarded with the high energy particles. The beam of high energy particles is preferably at an angle to the surface such that the particles pass through a thickness of the target material greater than the thickness of the layer before reaching the surface. When the desired quantity of isotope has been produced from the target material, the target material, which has now been altered nuclearly to contain the selected isotope, is removed from the surface. The target material may be melted or sublimated to facilitate extraction or extraction may be accomplished in some other way. For the preferred embodiment, the target surface is the interior surface of a cone.	2AC
5355394	Method for producing actinium-225 and bismuth-213	1. A method for producing a mixture of actinium-225 and radium-225, which mixture is a basic product for obtaining bismuth-213, comprising the steps of irradiating radium-226 in a thermal neutron flux of a nuclear reactor to obtain an irradiation product comprising thorium-229, chemically isolating a thorium fraction from the irradiation product, and chemically separating from the thorium fraction radionuclides actinium-225 and radium-225 obtained by decay of thorium-229 to thereby recover a mixture of actinium-225 and radium-225.	"The invention relates to a method for producing actinium-225 and bismuth-213. According to the invention, radium-226 is irradiated in the thermal neutron flux of a nuclear reactor, the thorium fraction of the irradiation product is then chemically isolated and therefrom the actinium and radium mixture growing continuously by decay therein is chemically separated, this mixture serving as ""cow"" for the desired radionuclides which are growing continuously."	2AC
5382388	Process for the preparation of rhenium-188 and technetium-99m generators	1. A process for preparing gels containing (η,γ) Mo-99 or (η,γ) W-188 comprising:    providing a substantially clear solution containing a metallic cation and an anion comprising (η,γ) W-188 or (η,γ) Mo-99, the metallic cation being present in the solution as a component of a dissolved complex of the metallic cation and a complexing agent and/or the anion being present in the solution as a component of a dissolved complex of the anion and a complexing agent,  decomposing the dissolved complex(es) to form a slurry containing a precipitate of the metallic cation, and  collecting the precipitate to provide a substantially insoluble gel.	Process for preparing a radionuclide generator for producing Tc-99m or Re-188. A clear solution containing a metallic cation and an anion comprising W-188 or Mo-99 is provided. The metallic cation is present in the solution as a dissolved complex of the metallic cation and a complexing agent and/or the anion being present in the solution as a dissolved complex of the anion and a complexing agent. The dissolved complex(es) are decomposed to form a slurry containing a precipitate of the metallic cation and the anion. The precipitate is transferred to an elutable container of a radionuclide generator.	2AD
5405309	X-ray emitting interstitial implants	1. A seed for implantation into a tumor within a living body to emit X-ray radiation thereto comprising at least one pellet of an electroconductive support substantially non-absorbing of X-rays, having electroplated thereon a layer of a palladium composition consisting of carrier-free palladium 103 having added thereto palladium metal in an amount sufficient to promote said electroplating, said at least one electroplated pellet containing Pd-103 in an amount sufficient to provide a radiation level measured as apparent mCi of greater than 0.5, and a shell of a bicompatible material encapsulating said at least one electroplated pellet, said biocompatible material being penetrable by X-rays in the 20-23 kev range.	Safe, isotopically pure Pd-103-containing seeds of high apparent activity are formed by bombarding an Rh target in a cyclotron with high energy particles to obtain Rh containing carrier-free Pd-103, separating therefrom the carrier-free Pd-103, adding a small amount of Pd to the carrier-free Pd-103, electroplating said Pd-103/Pd admixture to a pellet(s) of electroconductive material and encapsulating the pellet(s) within a bicompatible container or shell.	2AC
5409677	Process for separating a radionuclide from solution	1. A process for separating a radionuclide from a mixture containing the radionuclide and a precursor element of the radionuclide in which the mass of the precursor element is at least about 100 times the mass of the radionuclide, comprising:    (a) preparing a weak acid solution which contains the mixture of the radionuclide and the element,  (b) contacting the solution with a ligand which preferentially forms a complex with the radionuclide relative to the precursor element, the percentage of the radionuclide which is complexed by the ligand, as a percentage of the total radionuclide in the mixture, being on the order of at least about 100 times the percentage of the precursor element which is complexed by the ligand, as a percentage of the total precursor element in the mixture,  (c) separating the radionuclide complexed to the ligand from the precursor element, and  (d) releasing the radionuclide from the ligand.	A process for separating a radionuclide such as radioactive Cu-64 from a mixture containing the radionuclide and a precursor element from which the radionuclide is formed. A weak acid solution is prepared which contains the mixture of the radionuclide and the element. The solution is contacted with a ligand which preferentially forms a complex with the radionuclide relative to the precursor element. The radionuclide complexed to the ligand is separated from the precursor element and released from the ligand by contacting the ligand with an acid.	2AC
5457720	System for krypton-xenon concentration, separation and measurement for rapid detection of defective nuclear fuel bundles	1. A system for analyzing the composition of fission gas, comprising:    means for separating a Kr-85 RADIOISOTOPE from other components of said fission gas;  means for detecting the thermal conductivity of said separated Kr-85 RADIOISOTOPE in a gaseous discharge exiting said separating means;  means for measuring the amount of Kr-85 RADIOISOTOPE in a first volume; and  means for diverting said separated Kr-85 RADIOISOTOPE to said first volume.	A process and system for the rapid concentration, separation and measurement of Kr-85 and Xe-133. By measuring the amount of Kr-85 RADIOISOTOPE which is present, false positive signals for the vacuum sipping process can be eliminated. The fission gases are trapped by passing the recirculating gas stream through an adsorbing media. During this process, a known mixture of nonradioactive krypton and xenon is added to the gas stream which enters a thermal conductivity (TC) detector to calibrate the latter. The trapped gases are desorbed and injected into the inlet of a separating column. The column discharges into the TC detector. The TC detector discharge is diverted for counting to an evacuated beta detector chamber during the time that krypton is sensed by the TC detector. Any minute amount of Kr-85 is captured in the chamber, free of Xe-133. The detector discharge is diverted for counting to another evacuated beta detector chamber during the time that xenon is sensed by the TC detector. Any minute amount of Xe-133 is captured in the chamber, free of Kr-85.	2AB
5475232	Method for elution of a RADIOISOTOPE according to an elution run schedule	1. A method for elution of a RADIOISOTOPE according to an elution run schedule, comprising:    selecting a first set of generators;  determining qualified generator profiles, wherein each qualified generator profile includes a second set of generators, selected from the first set of generators, such that the generators in each qualified generator profile are capable of producing, by time and amount, an output of RADIOISOTOPE not less than an amount of RADIOISOTOPE required for a preselected period of time;  determining a preferred generator profile from the list of qualified generator profiles;  determining an elution run schedule that designates the group of generators from the preferred generator profile to elute during each elution run performed during the preselected period of time; and  eluting one or more of the group of generators in the preferred generator profile designated by the elution run schedule.	A method that provides a preferred generator profile that includes a set of generators, described in terms of their size, calibration and day of receipt, that will meet RADIOISOTOPE requirement for a location for a preselected period of time. The method also selects generators for elution of RADIOISOTOPE and determines an elution schedule which allocates elution of the generators throughout the preselected period of time so that the RADIOISOTOPE requirement is met while avoiding undue wastage of radioactivity.	2AD
5508011	Method and generation for generating 90 Y from 90 SR	1. A method for generating  90 Y from  90 Sr, comprising steps of:    a) providing a crown-ether bonded silica gel; and  b) having  90 Sr stay with said crown-ether silica gel for a period of time.	The present invention is related to a method for generating  90 Y from  90 Sr which includes steps of a) providing a crown-ether bonded silica gel, and b) having  90 Sr stay with the crown-ether silica gel for a period of time. The present invention is also related to a  90 Sr/ 90 Y generator for implementing the method, which includes a  90 Sr/ 90 Y converting device including the crown-ether bonded silica gel for adsorbing  90 Sr and converting  90 Sr into  90 Y, and an eluting device forcing an eluant to elute the  90 Sr/ 90 Y converting device to obtain  90 Y. The generator according to the present invention has advantages of simplicity, reusability, high yield and low cost. The obtained  90 Y by the present method possesses high purity so that it is suitable for nuclear medicine use.	2AD
5519738	Transmission type slow positron beam generating device	1. A slow positron beam generating device comprising:    a target member having an incident surface and an opposite surface opposite to said incident surface for producing, when said incident surface is irradiated by accelerated particles, β + decay RADIOISOTOPEs due to nuclear reaction within said target member so that said β + decay RADIOISOTOPEs emit fast positrons around said β + decay RADIOISOTOPEs;  a moderator disposed nearer to said opposite surface than said incident surface and supplied with said fast positrons emitted from said opposite surface for moderating said fast positrons into slow positrons; and  an ejecting electrode for ejecting said slow positrons as a slow positron beam.	In a slow positron beam generating device comprising a target member (11) having a β decay RADIOISOTOPE producing function for producing, when an incident surface (11a) of the target member is irradiated by accelerated particles (10 ), β +  decay RADIOISOTOPEs due to nuclear reaction within the target member so that the β +  decay RADIOISOTOPEs emit fast positrons around the decay RADIOISOTOPEs, a moderator ( 12 ) is disposed nearer β +  to an opposite surface (11b) of the target member than the incident surface and has a fast positron moderating function for moderating into slow positrons the fast positrons emitted from the opposite surface. The opposite surface is opposite to the incident surface. An ejecting electrode (13) ejects the slow positrons as a slow positron beam (14). Use may be made of a different target member having not only the β +  decay RADIOISOTOPE producing function but also the fast positron moderating function in order to remove the moderator from the device. In this case, the ejecting electrode is disposed nearer to the opposite surface of the different target member than the incident surface of the different target member.	2CA
5573747	Method for preparing a physiological isotonic pet radiopharmaceutical of .sup.62 Cu	1. A method for preparing a radiopharmaceutical in a form suitable for intravenous bolus injection, comprising:    eluting  62 Cu from a column of anion exchange resin loaded with  62 Zn in an amount to provide a radioactivity level of from about 0.1 to about 1000 mCi of  62 Zn by forcing an eluant having a pH of less than 2.0 and a chloride ion content of from about 0.5 to about 4.0M over said anion exchange resin to provide an eluate having a radioactivity of from about 1 to about 1000 mCi;  buffering said eluate to a pH value of from about 5.0 to about 7.0 by addition of sodium acetate to provide a buffered eluate having a radioactivity of from about 1 to about 1000 mCi;  mixing the buffered eluate with a ligand solution comprising as a ligand a compound of the formula:   wherein R 1 is a lower alkyl radical and R 2, R 3, R 4 and R 5 are each independently a hydrogen or a lower alkyl radical and as a solvent water containing from about 5 to about 50 volume % ethanol, said ligand being present in said solvent in a concentration of from about 0.1 to about 10.0 μg/ml, and the ligand solution being present in an amount to provide from about 0.1 to about 10 μg of ligand compound; and  adding water to the buffered eluate-ligand solution mixture in an amount sufficient to produce a physiologically isotonic solution acceptable for intravenous injection.	A method of preparing a radiopharmaceutical in a form suitable for intravenous bolus injection is disclosed. The method comprises eluting  62 Cu from from an anion exchange column loaded with  62 Zn.	2AD
5583896	Transmission type slow positron beam generating device	1. A slow positron beam generating device comprising:    a target member having an incident surface and an opposite surface opposite to said incident surface for producing, when said incident surface is irradiated by accelerated particles, β +  decay RADIOISOTOPEs due to nuclear reaction within said target member so that said β + decay RADIOISOTOPEs emit fast positrons around said β +  decay RADIOISOTOPEs and for moderating said fast positrons into slow positrons; and  an ejecting electrode disposed nearer to said opposite surface than said incident surface and supplied with said slow positrons emitted from said opposite surface for ejecting said slow positrons as a slow positron beam.	In a slow positron beam generating device comprising a target member (11) having a β +  decay RADIOISOTOPE producing function for producing, when an incident surface (11a) of the target member is irradiated by accelerated particles (10), β +  decay RADIOISOTOPEs due to nuclear reaction within the target member so that the β +  decay RADIOISOTOPEs emit fast positrons around the β +  decay RADIOISOTOPEs, a moderator (12) is disposed nearer to an opposite surface (11b) of the target member than the incident surface and has a fast positron moderating function for moderating into slow positrons the fast positrons emitted from the opposite surface. The opposite surface is opposite to the incident surface. An ejecting electrode (13) ejects the slow positrons as a slow positron beam (14). Use may be made of a different target member having not only the β + decay RADIOISOTOPE producing function but also the fast positron moderating function in order to remove the moderator from the device. In this case, the ejecting electrode is disposed nearer to the opposite surface of the different target member than the incident surface of the different target member.	2CA
5586153	Process for producing radionuclides using porous carbon	1. A process for producing radionuclides using a porous carbon monolithic target with tailored solid and void dimensions, said process comprising the steps of:    inserting said porous carbon target in a path of a beam of bombarding particles in an accelerator;  introducing a fluid into said porous carbon target;  irradiating said porous carbon target with said beam of bombarding particles thereby forming at least one type of radionuclide; and,  collecting said fluid introduced into said porous carbon target.	A process for producing radionuclides using a porous carbon target. The process includes the steps of inserting a porous carbon target with tailored solid and void dimensions in the path of a bombarding beam; introducing fluid into the porous carbon target; bombarding the porous carbon target to produce at least one type of radionuclide; collecting the fluid and separating the resulting radionuclides.	2AC
5615238	Method for fabricating .sup.99 Mo production targets using low enriched uranium, .sup.99 Mo production targets comprising low enriched uranium	1. A method for fabricating a primary target for the production of fission products comprising:    a.) choosing a first substrate having a first substrate first surface, a first substrate second surface, a first substrate first end, a first substrate second end, a first substrate first raised shoulder at the first substrate first end, a first substrate second raised shoulder at the first substrate second end, and first substrate predetermined thickness;  b.) positioning a welding rib onto the first substrate first surface, said welding rib having a welding rib first side surface, a welding rib second side surface, and a welding rib top surface, where said welding rib extends longitudinally from the first substrate first raised shoulder to the first substrate second raised shoulder;  c.) sizing a foil of fissionable material, said foil having a foil first surface, a foil second surface, a foil first edged a foil second edge opposing the first edge, and a predetermined thickness;  d.) preparing the first substrate first surface to receive the foil first surface so as to avoid diffusion bonding between the first substrate surface and the foil first surface to allow for later removal of the foil from the first substrate;  e.) wrapping the foil around the first substrate such that the foil first surface is in contact with the first substrate first surface, the foil first edge abuts against the welding rib first side surface, and the foil second edge abuts against the welding rib second side surface;  f.) choosing a second substrate having a second substrate first surface, a second substrate second surface, a second substrate first end, a second substrate second end, a slit extending longitudinally from the second substrate first end to the second substrate second end, wherein the slit has opposing edges, and a second substrate predetermined thickness;  g.) preparing the second substrate first surface to receive the foil second surface so as to avoid diffusion bonding between the second substrate first surface and the foil second surface to allow for later removal of the foil from the second substrate;  h.) assembling the foil-wrapped first substrate and the second substrate such that the foil second surface contacts the second substrate first surface and the opposing edges of the second substrate slit are aligned over the welding rib top surface, whereby the first substrate second surface and the second substrate second surface are exposed to ambient atmosphere;  i.) mechanically compressing the second substrate to assure physical contact between all common surfaces of the first substrate, the foil, and the second substrate, to ensure good thermal conduction, whereby the opposing edges of the slit of the second substrate are moved into close proximity one to the other, and slit of the second substrate is aligned over the welding rib top surface;  j.) attaching the two opposing edges of the slit of the second substrate to the welding rib; and  k.) attaching the second substrate first end to the first substrate first raised shoulder and the second substrate second end to the second surface raised shoulder.	A RADIOISOTOPE production target and a method for fabricating a RADIOISOTOPE production target is provided, wherein the target comprises an inner cylinder, a foil of fissionable material circumferentially contacting the outer surface of the inner cylinder, and an outer hollow cylinder adapted to receive the substantially foil-covered inner cylinder and compress tightly against the foil to provide good mechanical contact therewith. The method for fabricating a primary target for the production of fission products comprises preparing a first substrate to receive a foil of fissionable material so as to allow for later removal of the foil from the first substrate, preparing a second substrate to receive the foil so as to allow for later removal of the foil from the second substrate; attaching the first substrate to the second substrate such that the foil is sandwiched between the first substrate and second substrate to prevent foil exposure to ambient atmosphere, and compressing the exposed surfaces of the first and second substrate to assure snug mechanical contact between the foil, the first substrate and the second substrate.	2AA
5619545	Process for purification of radioiodides	1. A process for purifying cyclotron produced  123 I which comprises:    (a) passing a recovered solution of a cyclotron produced iodide over an anion exchange resin;  (b) washing the ion exchange resin in (a) with a weak solution comprising NaOH;  (c) washing the ion exchange resin in (a) with a stronger solution of NaOH than used in (b); and  (d) recovering the wash solution of (c).	The invention relates to a process for purifying radioiodides which comprises    a) passing a recovered solution of iodide over an anion exchange resin;  b) washing the ion exchange resin in (a) with a solution comprising a weak base or anionic ion;  c) washing the ion exchange resin in (a) with a stronger solution than used in (b); and  d) recovering a solution with iodide.	2CB
