,patent_id,class,title,claim,abstract
10,6712651,ABB,Fuel injection control for marine engine,"1. A method of controlling operation of an engine having an engine body, a lubrication system circulating lubricant through the engine body, and an engine load input device operable by an operator of a watercraft, the method comprising operating the engine in accordance with a position of the engine load input device, detecting a pressure within the lubrication system, detecting a speed of the engine, decreasing the speed of the engine to a first engine speed if the lubricant pressure is below a predetermined pressure, and limiting the engine speed to the first engine speed after the pressure in the lubrication system rises above the predetermined pressure, until the engine load input device is moved to a position corresponding to an engine load that is below a predetermined engine load.","A watercraft includes an engine having a fuel injection system. The fuel injection system is controlled to gradually reduce a speed of the engine if a lubrication pressure detected within the engine is below a predetermined pressure. Additionally, the fuel injection system is controlled to maintain a reduced engine speed until the throttle lever is moved to a position corresponding to a lower speed."
11,6752672,ABB,Fuel injection control for marine engine,"1. A method of controlling a multi-cylinder marine engine associated with a watercraft, the method comprising injecting fuel into the engine for combustion therein, sensing a first engine speed, comparing the first sensed engine speed with a first predetermined speed, stopping fuel injection to a first cylinder if the first sensed engine speed is greater than the first predetermined speed, sensing a second engine speed after the engine has completed a predetermined number of rotations, restoring fuel injection to the first cylinder if the second sensed engine speed is less than a second predetermined speed that is greater than the first predetermined engine speed.",A watercraft has an engine that is controlled to reduce the likelihood of engine damage when the watercraft engine speed is rapidly increased due to a lack of load on the propulsion unit. The engine is controlled by a method that detects engine speed and reduces the power output of the engine by varying degrees depending on the speed of the engine relative to plural predetermine speeds.
12,6851317,AAA,Device for measuring horizontal acceleration,"1. Device for measuring horizontal acceleration comprising: two sealed, rigidly interconnected, essentially similar hollow vessels, filled with flowing medium, e.g. liquid, having upper and lower points in each of the asymmetrical vessel inner cavity cross-section anti-oriented contours, staying in contours as such within permissible tilting of the device in the working position, the even number of pressure pickups, connected with vessels, particularly two pressure pickups with chosen points of pressure measurements similarily set in the vessel inner hollows on the parallel straight lines, containing upper and lower points mentioned above, differential scheme on the output of the device with the pressure pickups connected to it. ","[00001] The device for measuring horizontal acceleration consisting of two similar hermetically sealed vessels containing liquid and provided with the pressure sensors connected to the differential scheme. The determination of the accelerations is done in terms of these sensors signals difference, which measuring the pressure in particular points. In these very points the pressures created by the vertical acceleration are equal in terms of each other, the ones created by the horizontal acceleration are different."
13,6857917,AAA,Method for deactivating a marine alternator during periods of high engine power requirements,"1. A method for controlling the electrical system of a marine propulsion system, comprising the steps of: providing an engine as a source of motive power for said marine propulsion system; providing an electrical energy providing device connected in torque transmitting relation with said engine; monitoring an operating characteristic associated with the operating speed of the internal combustion engine; comparing said operating characteristic to a preselected magnitude; deactivating the electrical energy providing device as a function of the relative magnitude of the monitored operating characteristic and the preselected magnitude; providing a propulsion control unit which is connected in electrical communication with said electrical energy providing device; providing an electrical battery; measuring a characteristic of said battery; comparing said battery characteristic to a predetermined minimum threshold magnitude; and disabling said deactivating step if said battery characteristic is less than said, predetermined minimum threshold magnitude. ","[00001] A method is provided for controlling the operation of the alternator in such a way that during certain conditions, such as rapid acceleration of a marine vessel in combination with a trimming maneuver, the alternator of the marine propulsion system is deactivated so that it does not provide a mechanical load on the engine during the accelerating maneuvers. This allows the engine to provide more power to the propeller and achieve the desired operating speed commanded by the operator of a marine vessel."
14,6857917,ABB,Method for deactivating a marine alternator during periods of high engine power requirements,"1. A method for controlling the electrical system of a marine propulsion system, comprising the steps of: providing an engine as a source of motive power for said marine propulsion system; providing an electrical energy providing device connected in torque transmitting relation with said engine; monitoring an operating characteristic associated with the operating speed of the internal combustion engine; comparing said operating characteristic to a preselected magnitude; deactivating the electrical energy providing device as a function of the relative magnitude of the monitored operating characteristic and the preselected magnitude; providing a propulsion control unit which is connected in electrical communication with said electrical energy providing device; providing an electrical battery; measuring a characteristic of said battery; comparing said battery characteristic to a predetermined minimum threshold magnitude; and disabling said deactivating step if said battery characteristic is less than said, predetermined minimum threshold magnitude. ","[00001] A method is provided for controlling the operation of the alternator in such a way that during certain conditions, such as rapid acceleration of a marine vessel in combination with a trimming maneuver, the alternator of the marine propulsion system is deactivated so that it does not provide a mechanical load on the engine during the accelerating maneuvers. This allows the engine to provide more power to the propeller and achieve the desired operating speed commanded by the operator of a marine vessel."
15,6857917,ACA,Method for deactivating a marine alternator during periods of high engine power requirements,"1. A method for controlling the electrical system of a marine propulsion system, comprising the steps of: providing an engine as a source of motive power for said marine propulsion system; providing an electrical energy providing device connected in torque transmitting relation with said engine; monitoring an operating characteristic associated with the operating speed of the internal combustion engine; comparing said operating characteristic to a preselected magnitude; deactivating the electrical energy providing device as a function of the relative magnitude of the monitored operating characteristic and the preselected magnitude; providing a propulsion control unit which is connected in electrical communication with said electrical energy providing device; providing an electrical battery; measuring a characteristic of said battery; comparing said battery characteristic to a predetermined minimum threshold magnitude; and disabling said deactivating step if said battery characteristic is less than said, predetermined minimum threshold magnitude. ","[00001] A method is provided for controlling the operation of the alternator in such a way that during certain conditions, such as rapid acceleration of a marine vessel in combination with a trimming maneuver, the alternator of the marine propulsion system is deactivated so that it does not provide a mechanical load on the engine during the accelerating maneuvers. This allows the engine to provide more power to the propeller and achieve the desired operating speed commanded by the operator of a marine vessel."
16,6878019,AAA,Watercraft control systems,"1. A control system for a watercraft providing wireless communication between a user's transmitting device and a processor on the watercraft, the control system comprising: a portable transmitting device configured to transmit a signal; and a watercraft control system comprising:  a receiver configured to receive the transmitted signal; a processor configured to communicate with the receiver to process the received signal and verify the received signal's authenticity, and configured to generate one or more operational commands when the received signal is authentic; and one or more controls of the watercraft including at least one of a steering control, a throttle control, and a rigging control, the one or more controls configured to communicate with the processor to receive and perform the one or more operational commands including mechanically positioning the rigging control, locking or unlocking the steering control, and locking or unlocking the throttle control, thereby preparing the watercraft for use. ","[00001] A watercraft control system includes a transmitting device and a watercraft control device which receives transmitted signals from the transmitting device and maneuvers the watercraft to a fallen driver, pursues a diver, or the like. The transmitting device can also unlock various devices and systems on the watercraft by generating an authentic ID code. In other embodiments, a signal intensity is monitored to trigger a guidance system, while still other embodiments replace the transmitting device with on-board sonar systems."
17,6882289,AAA,Monitoring and control of watercraft propulsion efficiency,"1. A signaling system for continuously reporting electric boat propeller efficiency, comprising: (a) a transducer that generates an electrical signal proportional to boat speed; (b) a circuit that accepts the electrical signal proportional to boat speed and compares that signal with the voltage applied to an electric motor to output a signal; and (c) a signal display that receives the output signal and presents at least a visual or auditory signal indicating propeller efficiency, wherein a greater acceptable slip at lower speed is factored into the comparison by the circuit of (b) or is accommodated by the display system to indicate efficiency. ","Readout devices and controls are provided that alert the user to unusual propeller slip conditions. Embodiments of the invention incorporate some signal processing to account for a progressively greater slip at lower watercraft speeds. Thus, the invention provides simple information that tells the user if a boat propeller combination is being operated suboptimally, without requiring the knowledge and use of multiple slip figures for differing boat speeds. The invention allows greater economy of operation, automatic anticavitation control and can alert the watercraft operator to unusual conditions such as anchor down, propeller up other situations that affect propeller loading."
18,6885919,ABA,Method for controlling the operation of a marine vessel,"1. A method for controlling the operation of a marine vessel, comprising the steps of: determining a quantity of available fuel of said marine vessel; determining a velocity of said marine vessel; determining a current operating speed of an engine of said marine vessel; determining a rate of fuel consumption of said marine vessel; determining a range of said marine vessel as a function of said quantity of available fuel and said rate of fuel consumption; determining a current location of said marine vessel; selecting a desired location of said marine vessel; determining a distance between said current location and said desired location; comparing said range to said distance; and determining, in situations where said distance is greater than said range, if an increase of said current operating speed of said engine will increase said range to a magnitude which is greater than said distance. ","A process is provided by which the operator of a marine vessel can invoke the operation of a computer program that investigates various alternatives that can improve the range of the marine vessel. The distance between the current location of the marine vessel and a desired waypoint is determined and compared to a range of the marine vessel which is determined as a function of available fuel, vessel speed, fuel usage rate, and engine speed. The computer program investigates the results that would be achieved, theoretically, from a change in engine speed. Both increases and decreases in engine speed are reviewed and additional theoretical ranges are calculated as a function of those new engine speeds. The operator of the marine vessel is informed when an advantageous change in engine speed is determined."
19,6885919,ACA,Method for controlling the operation of a marine vessel,"1. A method for controlling the operation of a marine vessel, comprising the steps of: determining a quantity of available fuel of said marine vessel; determining a velocity of said marine vessel; determining a current operating speed of an engine of said marine vessel; determining a rate of fuel consumption of said marine vessel; determining a range of said marine vessel as a function of said quantity of available fuel and said rate of fuel consumption; determining a current location of said marine vessel; selecting a desired location of said marine vessel; determining a distance between said current location and said desired location; comparing said range to said distance; and determining, in situations where said distance is greater than said range, if an increase of said current operating speed of said engine will increase said range to a magnitude which is greater than said distance. ","A process is provided by which the operator of a marine vessel can invoke the operation of a computer program that investigates various alternatives that can improve the range of the marine vessel. The distance between the current location of the marine vessel and a desired waypoint is determined and compared to a range of the marine vessel which is determined as a function of available fuel, vessel speed, fuel usage rate, and engine speed. The computer program investigates the results that would be achieved, theoretically, from a change in engine speed. Both increases and decreases in engine speed are reviewed and additional theoretical ranges are calculated as a function of those new engine speeds. The operator of the marine vessel is informed when an advantageous change in engine speed is determined."
20,6994049,AAA,Power boat with improved hull,"1. An improved hull having a waterline, the hull including: a forward section having a deadrise angle as measured from a centerline of the hull relative to the waterline of at least about 50 degrees; a midship section having a deadrise angle as measured from a centerline of the hull relative to the waterline of at least about 28 degrees; and an aft section having a concave bottom as measured relative to a static waterline, the concave bottom being defined by a negative deadrise angle.","A power boat having an improved hull including concave aft sections, and which hull is capable of operations at a wide range of speeds with low relative horsepower for vessel weight and improved fuel economy is disclosed. In one exemplary embodiment, the boat is a 38 foot power boat having an improved hull which can achieve speeds of up to about 18 knots, with a 200 hp engine and which burns about 10 gals. per hour. The hull preferably includes a negative deadrise angle at the aft sections, the deadrise angle being positive at the bow and transitioning to a negative angle at the aft sections of the hull."
21,6994049,ABB,Power boat with improved hull,"1. An improved hull having a waterline, the hull including: a forward section having a deadrise angle as measured from a centerline of the hull relative to the waterline of at least about 50 degrees; a midship section having a deadrise angle as measured from a centerline of the hull relative to the waterline of at least about 28 degrees; and an aft section having a concave bottom as measured relative to a static waterline, the concave bottom being defined by a negative deadrise angle.","A power boat having an improved hull including concave aft sections, and which hull is capable of operations at a wide range of speeds with low relative horsepower for vessel weight and improved fuel economy is disclosed. In one exemplary embodiment, the boat is a 38 foot power boat having an improved hull which can achieve speeds of up to about 18 knots, with a 200 hp engine and which burns about 10 gals. per hour. The hull preferably includes a negative deadrise angle at the aft sections, the deadrise angle being positive at the bow and transitioning to a negative angle at the aft sections of the hull."
22,7017505,ABB,Ship with wave energy engulfing propulsors,"1. In an improved means for integrating a water propulsion system into a ship, the improvement comprising: a first bow oriented water propulsor having a first bow oriented water inlet disposed, at least in part, proximal a lower forward portion of a bow of a main center hull of the ship and wherein, when the ship is moving forward and the first bow oriented water propulsor is operating, water taken into the first bow oriented water inlet generates a hydrodynamic force on a bow wave of said ship thereby reducing energy of said bow wave and wherein said first bow oriented water propulsor expels at least a majority of its discharge propulsive force water aft into a first open bottomed recess inset upward into the main center hull of the ship and wherein said first open bottomed recess is, at least in part, defined either side longitudinally by downwardly extending longitudinal portions of the main center hull and wherein a first open bottomed pressurized gas layer is formed in said first open bottomed recess and wherein said first open bottomed pressurized gas layer is supplied with gas from artificial gas pressurization means.",Presented is a water propulsion system for ships that enhances the efficiency of both the water propulsor(s) and the ship itself. This is accomplished by location of water inlet(s) for the water propulsor(s) to take advantage of water flow characteristics around a secondary bow of the ship and also proximal a stern of the ship. A primary object is to reduce the energy of the bow and/or stern waves of the ship and hence reduce the ship's wave making resistance. A secondary object is to reduce the frictional resistance of the ship. The water propulsors are preferably electrically driven with built in stator field windings and armatured rotors. A bow oriented water propulsor(s) would preferably have its discharge into a gas cavity in the underside of the ship. Both bow oriented and stern oriented water propulsor(s) would optimally have steering and/or reversing mechanisms.
23,7036445,AAA,Watercraft steer-by-wire system,"1. A watercraft steer-by-wire control system comprising: a direction control system responsive to a directional command signal for steering a watercraft, said direction control system including a rudder position sensor to measure and transmit a rudder position signal; a helm control system responsive to a helm command signal for receiving a directional input to a helm from an operator and providing tactile feedback to an operator, said helm control system including at least one of a helm position sensor to produce and transmit a helm position signal and a torque sensor to produce and transmit a helm torque signal, said tactile feedback including at least one of: a resistive force, a reaction torque to an operator; an on center detent as a helm moves thru a center position; and variable control stops to resist helm motion beyond a selected threshold; a watercraft speed sensor for producing a watercraft speed signal; a master control unit in operable communication with said watercraft speed sensor, said helm control system, and said direction control system; said master control unit includes a position control process for generating said directional command signal in response to said watercraft speed signal, said helm torque signal and said helm position signal; said master control unit includes a torque control process for generating said helm command signal based on said helm torque signal, said helm position signal and said watercraft speed signal; and a lateral thruster in operable communication and cooperation with a rudder dynamics unit directing thrust to provide at least one of substantially lateral control and substantially yaw control to facilitate at least one of low speed and docking operations; wherein said lateral thruster is responsive to at least one of a port command and a starboard command.","A watercraft steer-by-wire control system for watercraft comprising: a direction control system including a rudder position sensor; a helm control system including at least one of; a helm position sensor to produce and transmit a helm position signal and an optional torque sensor to produce and transmit a helm torque sensor signal. The system optionally including a watercraft speed sensor and a master control unit in operable communication with the watercraft speed sensor, the helm control system, and the direction control system. The master control unit includes a position control process for generating the directional command signal in response to the watercraft speed signal, the helm torque sensor signal and the helm position signal. The master control unit includes a torque control process for generating the helm command signal, based on the helm torque sensor signal, the helm position signal and the watercraft speed signal."
24,7082355,AAA,Wake wash severity monitor for high speed vessels,"1. A method for monitoring wake wash associated with navigation through shallow waters, said method comprising selecting a Froude depth number acceptability limit, said Froude depth number acceptability limit representing the Froude depth number above which the wake wash associated with the navigation of a vessel is considered to represent a significant risk, said method further comprising, during the navigation of a vessel: measuring the speed of the vessel; measuring the depth of the water below the vessel; determining when the Froude depth number relating to the navigation of the vessel exceeds said Froude depth number acceptability limit, said determining including calculating the Froude depth number relating to the navigation of the vessel, said calculating including considering a relationship among the Froude depth number being calculated, the measured speed of the vessel, and the measured depth of the water below the vessel; and communicating when the Froude depth number relating to the navigation of the vessel is determined to exceed said Froude depth number acceptability limit.","Onboard a marine vessel in transit a speedometer, a fathometer and a computer run in conjunction to track the Froude depth number (which is a function of vessel speed and water depth). A warning (e.g., display, signal and/or alarm) appears and/or sounds when the vessel nears or approaches the critical Froude depth number value of one (which is associated with wake wash at its most deleterious level), thus alerting the crew that the vessel's speed must be adjusted (usually, reduced) in order to avoid Froude depth number criticality. Typical embodiments establish a Froude depth number threshold value below 1.0 (e.g., 0.8), above which a red (prohibitive) zone warning is given. Some embodiments additionally establish a Froude depth number value above 1.0 (e.g., 1.2), below which a red (prohibitive) zone warning is given, above which an yellow (cautionary) zone warning (appreciably different from the red zone warning) is given."
25,7105800,AAA,Detection system and method for a propeller driven marine vessel with a false triggering prevention capability,"1. A detection system for a marine vessel, comprising: a first electromagnetic radiation sensor which is sensitive to a first preselected range of wavelengths, said first electromagnetic radiation sensor being attachable to said marine vessel and directed toward a first target area to receive electromagnetic radiation from within said first target area, said first electromagnetic radiation sensor being configured to provide a first signal which is representative of electromagnetic radiation within said first preselected range of wavelengths emanating from within said first target area; a second electromagnetic radiation sensor which is sensitive to a second preselected range of wavelengths, said second electromagnetic radiation sensor being attachable to said marine vessel and directed toward a second target area to receive electromagnetic radiation from within said second target area, said second electromagnetic radiation sensor being configured to provide a second signal which is representative of electromagnetic radiation within said second preselected range of wavelengths emanating from within said second target area; and a processor connected in signal communication with said first and second electromagnetic radiation sensors and configured to receive said first and second signals, said processor being configured to respond to a preselected change in said first or second signals with a change in the operation of said marine vessel; wherein: said first electromagnetic radiation sensor is an infrared sensor sensing heat, including heat emanating from a warm blooded animal, including a human, on said body of water and including heat of reflected sunlight reflected from said body of water; said second electromagnetic radiation sensor is a visible light sensor sensing visible light in said reflected sunlight and preventing said change in operation of said marine vessel to minimize false triggering otherwise due to heat of reflected sunlight sensed by said infrared sensor.","A detection system and method for a marine vessel uses an infrared sensor to detect the presence of a human being or mammal in a target area near the propulsor. A visible light detector is used to determine whether or not a signal received from the infrared sensor is caused by reflected sunlight and not the actual presence of a human being or mammal. By detecting visible light, false triggering of the system in response to infrared radiation received from sunlight can be significantly reduced. Embodiments of the system can monitor gear position and engine speed in combination with signals received from the infrared sensor and visible light sensors to determine an appropriate action to take in response to the presence of infrared radiation above a preselected threshold."
